"","sp.pop","Genus_species","Common_name","Population","Habitat_type","Habitat_open","Habitat_closed","Habitat_cat","Habitat_heterogenity","Activity_pattern","DisperseM","DisperseF","solitaryM","solitaryF","Solitary","MF","MF_adult_off","MFF","FMM","FFMM","FF","MM","Sex_specific_group","Sex_specific_solitaryM","Sex_specific_solitaryF","Sibling","Nbr_of_studies","Nbr_social_units","Nbr_papers_for_each_field_sites","IVSO","Main1","Main2","calculation_main_SO","foraging_style","level_of_society","Disruption","Locomotion","mean_Male_all","mean_Female_all","mean_other_all","sd_Male_all","sd_Female_all","sd_other_all","mean_Fruits_all","mean_Seeds_all","mean_Leaves_all","mean_Flowers_all","mean_Animal_all","sd_Fruits_all","sd_Seeds_all","sd_Leaves_all","sd_Flowers_all","sd_Animals_all","IVSO_prop","IVSOint","superfamily"
"2","sp","Allocebus_trichotis","Hairy-eared Dwarf Lemur"," ","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,"none","FFMM","FFMM",1,"solitary","one","none","AR",0.0875,0.081,0.0805,0.006363961,0.004242641,0.000707107,14,NA,NA,14,51.75,NA,NA,NA,NA,15.2027958,0,0,"Lemuroidea"
"3","pop","Allocebus_trichotis","Hairy-eared Dwarf Lemur","Analamazaotra Special Reserve, Central Eastern Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"solitary","one","none","AR",0.0875,0.081,0.0805,0.006363961,0.004242641,0.000707107,14,NA,NA,14,51.75,NA,NA,NA,NA,15.2027958,0,0,"Lemuroidea"
"5","pop","Cercopithecus_preussi","L'hoest's Monkey","Mount Kilum, Cameroun","Forest",0,1,"closed",1,"Diurnal",1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,"wp","MFF","FFMM",0.5,"one","one","none","T",6.35,3.25,4.525,1.439618005,0.494974747,1.025304833,51.95,NA,1.6,1.2,0.2,0.070710678,NA,NA,NA,NA,0.5,1,"Cercopithecoidea"
"6","sp","Cercopithecus_preussi","Preuss's Monkey"," ","Forest",0,1,"closed",1,"Diurnal",1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,"wp","MFF","FFMM",0.5,"one","one","none","T",6.35,3.25,4.525,1.439618005,0.494974747,1.025304833,51.95,NA,1.6,1.2,0.2,0.070710678,NA,NA,NA,NA,0.5,1,"Cercopithecoidea"
"10","sp","Alouatta_caraya","Paranguyan Howler Monkey"," ","Forest_Grassland_Wetland",1,1,"both",3,"Diurnal",NA,1,NA,NA,NA,5,NA,45,2,46,NA,NA,NA,NA,NA,NA,11,98,NA,"both","FFMM","FFMM",0.469387755,"groups","one","yes","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0.530612245,52,"Ceboidea"
"11","pop","Alouatta_caraya","Paranguyan Howler Monkey","Beco Xavier Tupancireta, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0,0,"Ceboidea"
"12","pop","Alouatta_caraya","Paranguyan Howler Monkey","Establecimiento Nossa Senora da Conceicao, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,"wp","MFF","FFMM",0.5,"groups","one","none","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0.5,1,"Ceboidea"
"13","pop","Alouatta_caraya","Paranguyan Howler Monkey","Estancia Casa Branca, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups","one","none","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0,0,"Ceboidea"
"14","pop","Alouatta_caraya","Paranguyan Howler Monkey","Isla Brasilera, Argentina","Forest_Wetland",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,7,NA,21,NA,NA,NA,NA,NA,NA,NA,28,5,"wp","FFMM","FFMM",0.75,"groups","one","yes","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0.25,7,"Ceboidea"
"15","pop","Alouatta_caraya","Paranguyan Howler Monkey","Protected area of upper Panama river, Brazil","Forest_Grassland_Wetland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,2,NA,9,NA,NA,NA,NA,NA,NA,NA,11,1,"wp","FFMM","FFMM",0.818181818,"groups","one","none","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0.181818182,2,"Ceboidea"
"16","pop","Alouatta_caraya","Paranguyan Howler Monkey","San cayetano Corrientese, Argentina","Forest_Grassland",1,1,"both",2,"Diurnal",NA,1,NA,NA,NA,NA,NA,32,NA,8,NA,NA,NA,NA,NA,NA,NA,40,2,"wp","MFF","MFF",0.8,"groups","one","none","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0.2,7,"Ceboidea"
"17","pop","Alouatta_caraya","Paranguyan Howler Monkey","Sao Francisco de Assis, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,2,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,7,1,"wp","FFMM","FFMM",0.428571429,"groups","one","none","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0.571428571,3,"Ceboidea"
"18","pop","Alouatta_caraya","Paranguyan Howler Monkey","Tocantins River, Brazil","Forest_Wetland",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,2,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,8,1,"wp","FFMM","FFMM",0.5,"groups","one","none","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0.5,4,"Ceboidea"
"20","sp","Alouatta_discolor","Spix's Howler Monkey"," ","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"none","MFF","MFF",1,"groups","one","none","AR",7.25,5.5,6.37,NA,NA,NA,55.6,NA,24.8,5.7,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"21","pop","Alouatta_discolor","Spix's Howler Monkey","Teles Pires River, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups","one","none","AR",7.25,5.5,6.37,NA,NA,NA,55.6,NA,24.8,5.7,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
